Price,Close,High,Low,Open,Volume
Ticker,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS
Date,,,,,
2019-01-01,623.8038940429688,626.6877559232736,618.4340259591153,618.4340259591153,12179223
2019-01-02,616.5944213867188,624.9973412965322,614.0586447901491,619.5279930433406,12386281
2019-01-03,604.5618286132812,618.5335140176051,600.2858052052142,617.9368821727583,13228602
2019-01-04,616.1467895507812,621.2681115873613,606.1031036614594,608.5891705345581,8381367
2019-01-07,633.8973999023438,637.1292871252332,620.721244301333,622.5112004703954,11735286
2019-01-08,647.2724609375,650.1065531819767,627.085547326673,632.4554765946266,11879875
2019-01-09,666.3653564453125,668.304500792057,648.7142812209598,648.7142812209598,18003387
2019-01-10,659.5536499023438,665.1721862375601,650.9518328287828,665.1721862375601,12751327
2019-01-11,662.7855224609375,664.7743762417655,654.5317914095014,661.2938821253165,8330315
2019-01-14,655.526123046875,659.3049325423577,648.9131609085364,659.3049325423577,6856244
2019-01-15,656.9182739257812,660.5479557702986,651.3992177102064,657.6143847761671,5467484
2019-01-16,660.2994384765625,666.6637946916857,657.017841960483,657.017841960483,6598151
2019-01-17,672.8789672851562,676.2102730286949,661.8905017924403,666.1665858984744,10448209
2019-01-18,660.89599609375,672.2821945602485,657.763588237241,671.1386402107264,7037386
2019-01-21,656.6199951171875,660.7965997603147,652.8411854667369,657.863028600559,6157956
2019-01-22,657.9127807617188,659.9016344649826,650.2059726615709,652.6920397906508,7951640
2019-01-23,657.9127807617188,663.2827100385307,654.9295002068228,655.8245086512909,7596006
2019-01-24,659.951416015625,661.8407906500855,651.3495993191359,661.2938680110311,7013582
2019-01-25,666.017333984375,673.077739824017,661.4927042874217,661.4927042874217,6628922
2019-01-28,652.6422729492188,670.6911429903595,646.7254215655532,665.2715049885988,7792690
2019-01-29,657.0675659179688,667.2604415148801,645.9299726389289,654.8301054210858,8302420
2019-01-30,687.0992431640625,699.4300996694325,679.9393577153003,683.2209541766085,46912230
2019-01-31,718.6723022460938,722.7991372888212,685.2098142042868,693.3641265769633,35239544
2019-02-01,713.2526245117188,722.3516540379319,701.4686911731761,716.7331183225114,13792059
2019-02-04,716.4844970703125,720.4622042018617,704.054162284221,707.3357585287504,8195956
2019-02-05,725.434326171875,727.5225981035569,715.4900585067362,717.9761254230209,8665426
2019-02-06,721.7052612304688,730.4064958646632,711.6118047768048,727.2243179165871,8077340
